Day  ;  Animal Count  ;  Plant Count  ;  Empty Cells  ;  Most Common Genotype  ;  Average Energy  ;  Average Life Length  ;  Average Children Count
55  ;  91  ;  17  ;  134  ;  None  ;  68  ;  21  ;  2

Details of Animals:

Animal Status  ;  Position  ;  Energy  ;  Children Count  ;  Life Length  ;  Genotype
Alive  ;  (0,2)  ;  4  ;  0  ;  55  ;  [2, 1, 1, 2, 7, 3, 2, 1]
Alive  ;  (0,0)  ;  144  ;  0  ;  55  ;  [6, 4, 2, 6, 1, 5, 2, 7]
Alive  ;  (6,8)  ;  964  ;  0  ;  55  ;  [7, 7, 2, 1, 4, 6, 6, 2]
Alive  ;  (11,9)  ;  144  ;  0  ;  55  ;  [0, 4, 1, 1, 5, 0, 5, 6]
Alive  ;  (7,12)  ;  224  ;  0  ;  55  ;  [4, 4, 7, 0, 2, 7, 5, 3]
Alive  ;  (14,11)  ;  324  ;  0  ;  55  ;  [3, 1, 0, 2, 4, 0, 0, 6]
Alive  ;  (0,5)  ;  26  ;  0  ;  54  ;  [6, 3, 2, 7, 5, 6, 0, 6]
Dead  ;  (12,3)  ;  0  ;  0  ;  39  ;  [0, 6, 4, 3, 2, 7, 4, 0]
Alive  ;  (0,13)  ;  100  ;  0  ;  40  ;  [1, 6, 7, 5, 4, 5, 7, 5]
Alive  ;  (12,4)  ;  1  ;  0  ;  39  ;  [6, 2, 0, 3, 7, 4, 0, 5]
Alive  ;  (9,2)  ;  362  ;  0  ;  38  ;  [5, 0, 1, 3, 4, 3, 5, 2]
Alive  ;  (9,9)  ;  383  ;  0  ;  37  ;  [5, 1, 4, 0, 0, 6, 7, 7]
Dead  ;  (0,4)  ;  0  ;  0  ;  19  ;  [0, 2, 6, 2, 2, 0, 2, 2]
Alive  ;  (12,10)  ;  307  ;  0  ;  33  ;  [2, 2, 6, 2, 2, 3, 7, 6]
Dead  ;  (14,5)  ;  0  ;  0  ;  19  ;  [0, 7, 6, 4, 3, 6, 7, 3]
Alive  ;  (9,5)  ;  308  ;  0  ;  32  ;  [6, 1, 7, 2, 4, 6, 1, 6]
Alive  ;  (13,4)  ;  149  ;  0  ;  31  ;  [1, 4, 7, 0, 6, 3, 1, 0]
Dead  ;  (12,3)  ;  0  ;  0  ;  19  ;  [1, 5, 4, 1, 2, 3, 3, 4]
Dead  ;  (13,5)  ;  0  ;  0  ;  19  ;  [3, 3, 1, 2, 7, 4, 5, 4]
Dead  ;  (8,3)  ;  0  ;  0  ;  19  ;  [5, 1, 6, 4, 7, 1, 5, 1]
Alive  ;  (10,3)  ;  91  ;  0  ;  29  ;  [1, 4, 1, 0, 3, 2, 2, 1]
Alive  ;  (13,7)  ;  32  ;  0  ;  28  ;  [2, 5, 1, 2, 2, 1, 2, 7]
Alive  ;  (11,8)  ;  53  ;  0  ;  27  ;  [2, 2, 4, 4, 2, 4, 7, 7]
Dead  ;  (2,3)  ;  0  ;  0  ;  19  ;  [7, 2, 2, 1, 1, 7, 0, 0]
Dead  ;  (14,4)  ;  0  ;  0  ;  19  ;  [3, 0, 1, 5, 4, 1, 2, 4]
Alive  ;  (5,1)  ;  275  ;  0  ;  25  ;  [0, 3, 5, 1, 0, 7, 6, 0]
